DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG017F,2020,86516,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG018F,2013,71708,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG018F,2014,70395,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG018F,2015,69100,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG018F,2016,66788,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG018F,2017,65905,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG018F,2018,65185,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG018F,2019,64447,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG018F,2020,63473,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH,2013,8039060,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH,2014,8139631,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH,2015,8237666,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH,2016,8327126,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH001F,2013,694347,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH001F,2014,700713,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH001F,2015,706474,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH001F,2016,712402,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH001F,2017,719369,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH001F,2018,723526,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,CH001F,2019,726597,
